0;Male;0;26.54;70.8517606905;63.6422884685;3;1;3 11 16 19 22 24 29;118.0
1;Male;1;26.62;87.8955428881;81.4994050439;2;1;2 3 11 16 19 22 24 29;140.0
2;Female;0;27.13;74.0121966602;68.4564840311;6;1;6 13 17 20 22 24 29;114.0
3;Male;0;24.39;83.8911185433;74.4917017906;2;1;2 3 11 16 19 22 24 29;140.0
4;Female;1;24.47;97.9006127292;89.496067628;7;1;7 6 13 17 20 22 24 29;138.0
5;Female;1;25.38;84.8964363098;77.8911488279;3;1;3 11 16 19 22 24 29;118.0
6;Male;0;23.3;68.7721399374;64.8880459503;8;1;8 15 17 20 22 24 29;118.0
7;Male;0;27.45;88.3869981605;78.2664708814;0;1;0 3 11 16 19 22 24 29;140.0
8;Male;0;23.3;83.1577506178;75.808567931;7;1;7 6 13 17 20 22 24 29;138.0
9;Female;1;23.57;97.9006127292;89.496067628;7;1;7 6 13 17 20 22 24 29;138.0
10;Female;0;22.32;75.7295716885;69.8249061453;3;1;3 11 16 19 22 24 29;118.0
11;Female;0;27.46;90.8201241323;84.0077308183;0;1;0 3 11 16 19 22 24 29;140.0
12;Female;1;21.0;80.9394819872;74.0121966602;6;1;6 13 17 20 22 24 29;114.0
13;Male;0;25.82;62.9744327713;63.0521446198;5;1;5 12 17 20 22 24 29;116.0
14;Female;1;23.63;99.314040291;90.7863902086;4;1;4 5 12 17 20 22 24 29;140.0
15;Female;1;29.13;83.4264570137;76.5448169288;5;1;5 12 17 20 22 24 29;116.0
16;Female;0;19.84;89.3706633;81.7988826432;2;1;2 3 11 16 19 22 24 29;140.0
17;Male;1;22.93;73.31461866;67.7324322417;8;1;8 15 17 20 22 24 29;118.0
18;Female;1;27.46;84.8964363098;77.8911488279;3;1;3 11 16 19 22 24 29;118.0
19;Male;1;29.15;72.8638973185;67.5591610896;5;1;5 12 17 20 22 24 29;116.0
20;Female;0;27.46;90.8201241323;84.0077308183;1;1;1 3 11 16 19 22 24 29;140.0
21;Male;0;22.32;69.8314912141;64.6320973428;5;1;5 12 17 20 22 24 29;116.0
22;Male;0;28.61;81.1140767547;77.5907331791;1;1;1 3 11 16 19 22 24 29;140.0
23;Male;0;29.99;83.3550984349;80.0892297805;2;1;2 3 11 16 19 22 24 29;140.0
24;Male;0;17.97;69.0942405236;65.4570343528;8;1;8 15 17 20 22 24 29;118.0
25;Male;1;27.41;74.1138973185;68.7185813794;8;1;8 15 17 20 22 24 29;118.0
26;Male;1;27.36;74.1138973185;68.7185813794;8;1;8 15 17 20 22 24 29;118.0
27;Female;0;22.29;89.7870796758;82.7660826159;2;1;2 3 11 16 19 22 24 29;140.0
28;Female;1;21.79;99.314040291;90.7863902086;4;1;4 5 12 17 20 22 24 29;140.0
29;Female;1;18.45;98.7949886641;89.6239677352;4;1;4 5 12 17 20 22 24 29;140.0
30;Male;1;23.43;86.8530801984;80.3038608131;4;1;4 5 12 17 20 22 24 29;140.0
31;Male;0;23.72;68.8590964591;60.0940082366;6;1;6 13 17 20 22 24 29;114.0
32;Male;0;28.61;74.1865877252;63.5107867926;5;1;5 12 17 20 22 24 29;116.0
33;Female;1;20.39;99.314040291;90.7863902086;4;1;4 5 12 17 20 22 24 29;140.0
34;Male;1;26.62;86.6138973185;80.312784278;7;1;7 6 13 17 20 22 24 29;138.0
35;Male;0;18.74;67.9055166776;60.7158515673;8;1;8 15 17 20 22 24 29;118.0
36;Female;0;21.93;75.7048370704;69.7968949408;8;1;8 15 17 20 22 24 29;118.0
37;Female;1;23.78;83.7966248443;76.6265757452;3;1;3 11 16 19 22 24 29;118.0
38;Female;1;26.47;100.610722024;92.3173783361;1;1;1 3 11 16 19 22 24 29;140.0
39;Male;1;29.83;72.8638973185;67.5591610896;5;1;5 12 17 20 22 24 29;116.0
40;Female;1;19.49;81.9528834009;74.3373435314;5;1;5 12 17 20 22 24 29;116.0
41;Male;1;27.41;74.1455428881;68.7457818555;3;1;3 11 16 19 22 24 29;118.0
42;Female;0;29.13;76.5928418215;70.8445437326;8;1;8 15 17 20 22 24 29;118.0
43;Male;0;27.12;83.7623670542;79.8906761099;2;1;2 3 11 16 19 22 24 29;140.0
44;Female;1;19.05;98.8349462092;89.6568421958;0;1;0 3 11 16 19 22 24 29;140.0
45;Male;1;28.73;87.8955428881;81.4994050439;0;1;0 3 11 16 19 22 24 29;140.0
46;Female;0;22.32;89.7870796758;82.7660826159;0;1;0 3 11 16 19 22 24 29;140.0
47;Male;0;23.01;80.6078541374;80.7189320767;0;1;0 3 11 16 19 22 24 29;140.0
48;Female;0;19.96;89.3706633;81.7988826432;1;1;1 3 11 16 19 22 24 29;140.0
49;Female;0;24.81;88.484389786;81.5616008231;7;1;7 6 13 17 20 22 24 29;138.0
50;Female;1;24.89;97.9006127292;89.496067628;7;1;7 6 13 17 20 22 24 29;138.0
51;Male;1;27.11;72.8638973185;67.5591610896;5;1;5 12 17 20 22 24 29;116.0
52;Female;0;21.65;89.7870796758;82.7660826159;0;1;0 3 11 16 19 22 24 29;140.0
53;Male;1;24.27;86.8530801984;80.3038608131;4;1;4 5 12 17 20 22 24 29;140.0
54;Male;0;27.38;85.1008796263;74.9986245043;2;1;2 3 11 16 19 22 24 29;140.0
55;Female;0;29.16;74.0121966602;68.4564840311;6;1;6 13 17 20 22 24 29;114.0
56;Female;1;24.95;83.7966248443;76.6265757452;3;1;3 11 16 19 22 24 29;118.0
57;Male;0;25.77;69.90810093;64.5234450204;8;1;8 15 17 20 22 24 29;118.0
58;Male;1;29.52;86.6138973185;80.312784278;7;1;7 6 13 17 20 22 24 29;138.0
59;Female;1;21.65;83.7663371108;76.5928418215;8;1;8 15 17 20 22 24 29;118.0
60;Female;0;23.15;89.7870796758;82.7660826159;1;1;1 3 11 16 19 22 24 29;140.0
61;Female;0;23.89;75.7048370704;69.7968949408;8;1;8 15 17 20 22 24 29;118.0
62;Male;1;26.55;74.1455428881;68.7457818555;3;1;3 11 16 19 22 24 29;118.0
63;Female;0;21.92;74.4268817988;68.6204243526;5;1;5 12 17 20 22 24 29;116.0
64;Female;0;24.61;75.7048370704;69.7968949408;8;1;8 15 17 20 22 24 29;118.0
65;Female;0;19.55;75.3697446046;68.9808251877;8;1;8 15 17 20 22 24 29;118.0
66;Female;0;24.67;75.7295716885;69.8249061453;3;1;3 11 16 19 22 24 29;118.0
67;Male;0;27.27;84.2127904143;77.8839115782;4;1;4 5 12 17 20 22 24 29;140.0
68;Female;1;21.76;99.3443280245;90.8201241323;1;1;1 3 11 16 19 22 24 29;140.0
69;Female;0;21.79;89.7870796758;82.7660826159;2;1;2 3 11 16 19 22 24 29;140.0
70;Female;1;19.57;81.9528834009;74.3373435314;5;1;5 12 17 20 22 24 29;116.0
71;Female;0;25.03;90.7863902086;83.9788720908;4;1;4 5 12 17 20 22 24 29;140.0
72;Female;0;25.4;76.6265757452;70.8734024601;3;1;3 11 16 19 22 24 29;118.0
73;Female;1;29.76;84.8964363098;77.8911488279;3;1;3 11 16 19 22 24 29;118.0
74;Female;0;18.31;89.3379985728;81.7715228621;4;1;4 5 12 17 20 22 24 29;140.0
75;Male;0;27.9;80.3651074227;78.6350996324;2;1;2 3 11 16 19 22 24 29;140.0
76;Female;1;22.7;99.3443280245;90.8201241323;2;1;2 3 11 16 19 22 24 29;140.0
